Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Cover_Type
2957,16,11,42,2,2155,211,217,142,2679,2
2953,122,15,300,31,4214,244,227,109,4469,2
3130,231,3,390,115,524,214,242,166,977,2
2378,347,13,0,0,469,195,218,162,942,3
2343,111,14,153,44,457,244,223,105,671,3
2957,88,16,228,37,1890,242,212,94,1908,2
2557,347,22,60,37,1500,174,199,160,537,3
3212,128,5,30,-2,2930,229,236,141,2401,7
2653,140,25,150,64,1894,247,224,89,2748,3
3181,32,18,210,53,1672,213,198,115,2007,2
2953,133,9,454,23,2732,235,236,132,2434,2
2995,63,12,30,7,2777,230,215,116,792,1
2988,73,7,268,26,5808,229,226,131,3814,2
2329,144,23,42,22,1052,245,228,99,1001,3
3060,96,13,42,10,3697,241,220,107,2798,1
3003,253,11,560,87,5534,194,248,191,1333,2
3451,324,11,484,32,5011,192,228,176,4235,7
3255,330,10,485,57,1091,196,228,171,1594,1
2344,324,22,85,30,351,160,211,188,912,3
3155,332,11,42,5,1230,193,225,172,2338,2
3079,283,11,170,38,1549,188,240,192,1256,1
3159,96,21,272,68,5199,248,205,75,1500,1
3243,187,16,67,9,1463,220,250,158,2672,1
3218,95,6,216,11,4865,229,231,136,2097,1
3025,108,22,330,14,1123,251,208,73,870,2
3176,330,13,212,70,1740,188,224,175,2151,2
3211,0,0,418,30,5862,218,238,156,2210,2
2561,180,15,210,53,977,224,248,152,1410,3
2929,44,16,182,0,5038,222,202,110,2227,2
2755,10,13,42,6,2651,206,214,145,4478,2
3178,270,13,162,30,443,185,244,198,738,2
2784,231,9,30,7,2448,205,249,180,2698,1
2414,124,18,497,82,631,248,223,97,1253,6
2308,338,16,0,0,1355,183,216,170,819,6
2813,114,13,210,11,930,242,227,112,2148,2
3064,160,28,330,49,1842,236,232,106,1253,1
2924,30,4,430,11,3408,218,231,149,3907,2
3079,106,10,170,35,3444,238,228,120,631,2
3178,85,9,532,85,3085,233,225,124,3372,1
3147,101,15,150,36,1390,244,218,99,2475,1
2853,110,20,67,17,3979,250,213,82,3001,2
2955,333,14,90,-3,4767,188,222,172,4665,1
2320,85,5,150,45,240,228,231,137,1566,3
3299,62,13,127,2,2766,230,214,114,1695,7
3073,299,10,30,1,1475,193,237,184,3045,1
3001,88,11,67,5,2003,237,221,114,3409,1
3101,286,8,510,47,2416,199,240,181,2151,2
3096,155,15,153,25,277,236,240,130,841,2
2664,92,13,301,52,850,240,219,107,1165,2
2786,243,1,331,20,2218,216,239,160,1652,2
3171,75,8,446,55,1958,230,225,127,3048,1
3201,89,16,0,0,2945,243,212,93,2445,1
3241,22,21,450,67,1657,202,190,118,2170,2
3072,130,14,540,31,1036,243,231,114,1895,2
2991,59,23,95,24,330,230,186,77,379,2
2652,17,5,201,3,510,216,229,151,1371,2
2846,264,15,524,133,268,181,246,204,1831,2
3123,144,15,108,15,1765,240,236,120,3194,1
2822,338,11,30,3,2568,196,225,167,2100,2
2877,149,15,108,32,1348,238,238,125,1998,2
3140,117,2,760,59,1806,223,237,150,2738,1
3123,135,7,175,14,6650,231,237,138,2532,2
3077,142,15,134,41,4784,241,235,119,2992,2
3233,175,19,437,117,2704,227,246,142,3316,2
3453,22,5,408,114,1806,217,229,149,1158,7
2945,342,9,255,49,3320,201,226,164,1782,2
3437,159,14,513,68,2701,234,242,135,1664,1
2753,83,15,270,-7,1405,239,213,101,957,2
2784,12,11,90,2,2325,209,217,145,1374,2
3286,174,9,518,110,3487,226,245,152,2766,1
3143,106,25,170,44,4078,253,200,59,2133,1
2611,68,11,90,-8,1282,232,218,118,272,2
3271,156,5,153,3,1080,225,240,150,2068,1
3353,193,21,361,119,977,212,252,164,859,1
3168,22,16,360,27,2255,208,205,130,1487,2
3179,38,17,430,34,997,218,200,112,2549,1
3210,3,5,30,2,5624,213,230,155,845,1
3155,333,7,30,3,3464,203,230,166,4842,1
3060,36,6,437,56,5759,220,226,143,4186,1
2981,359,14,212,26,3331,198,213,152,2148,1
2841,13,13,175,24,1077,207,214,142,543,2
2774,34,14,649,102,664,217,207,122,1300,2
2841,137,9,60,3,2577,235,237,133,2594,1
3241,293,15,234,43,319,177,236,199,741,1
3007,74,3,60,5,2856,224,233,144,2067,1
2782,67,13,234,18,2046,233,213,110,1207,2
3005,318,17,95,10,1898,174,223,188,3531,1
3220,310,12,382,71,3870,186,231,185,2079,1
3281,65,4,0,0,3996,223,231,143,3733,7
3139,10,8,404,26,3900,211,224,149,3313,2
2795,355,3,210,8,2296,215,234,157,2520,2
3146,41,9,210,46,2486,221,221,134,1698,1
3291,228,17,810,21,3889,193,253,194,997,2
2983,356,13,30,6,4430,198,216,155,2138,2
3259,193,9,277,19,3254,220,247,162,1216,2
3181,280,4,391,54,5957,208,240,170,2764,2
2949,171,10,162,23,5332,227,245,150,3216,1
3288,41,13,382,73,4368,221,211,123,1943,1
3258,88,21,255,93,1650,246,201,74,2746,1
2809,49,10,120,-1,2974,224,218,127,4615,2
2905,326,21,335,100,1173,164,212,186,1136,2
3025,180,1,319,5,1443,219,239,157,1333,2
2825,65,18,268,77,390,234,200,91,1380,5
3110,31,6,42,0,1776,219,228,145,3037,1
3236,156,9,124,12,3280,231,241,142,2040,1
3319,293,7,212,38,1627,200,239,178,1639,1
2711,112,13,60,15,1256,242,226,111,745,5
2403,41,23,319,91,1460,215,182,90,313,3
3151,211,14,342,68,1961,208,252,177,765,1
2722,220,33,60,36,2033,163,249,203,967,2
3030,8,7,30,1,1201,212,227,152,2442,2
